time,process,threads,memory_percent
2020-4-2,214,2466,58.2
2020-4-2,218,2524,58.3
2020-4-2,218,2552,58.5
2020-4-2,217,2561,58.4
2020-4-2,217,2565,58.4
2020-4-2,217,2566,58.4
2020-4-2,217,2566,58.4
2020-4-2,217,2568,58.4
2020-4-2,217,2567,58.4
2020-4-2,217,2569,58.4
2020-4-2,217,2569,58.4
2020-4-2,217,2571,58.4
2020-4-2,217,2569,58.4
2020-4-2,217,2569,58.4
2020-4-2,217,2568,58.4
2020-4-2,217,2568,58.4
2020-4-2,217,2569,58.4
2020-4-2,217,2568,58.3
2020-4-2,217,2568,58.3
2020-4-2,217,2569,58.3
2020-4-2,218,2579,58.3
2020-4-2,218,2565,58.3
2020-4-2,216,2566,58.3
2020-4-2,216,2566,58.3
2020-4-2,216,2565,58.3
2020-4-2,216,2565,58.3
2020-4-2,216,2565,58.2
2020-4-2,216,2564,58.2
2020-4-2,216,2564,58.2
2020-4-2,216,2563,58.2
2020-4-2,216,2563,58.3
2020-4-2,216,2564,58.3
2020-4-2,216,2564,58.3
2020-4-2,216,2564,58.3
2020-4-2,216,2562,58.3
2020-4-2,216,2562,58.3
2020-4-2,216,2562,58.2
2020-4-2,216,2561,58.2
2020-4-2,216,2559,58.2
2020-4-2,216,2558,58.3
2020-4-2,217,2558,58.3
2020-4-2,217,2558,58.3
2020-4-2,217,2559,58.3
2020-4-2,216,2558,58.3
2020-4-2,216,2557,58.3
2020-4-2,216,2557,58.3
2020-4-2,216,2557,58.3
2020-4-2,216,2558,58.3
2020-4-2,216,2557,58.3
2020-4-2,216,2557,58.3
2020-4-2,216,2555,58.3
2020-4-2,216,2555,58.3
2020-4-2,216,2556,58.3
2020-4-2,216,2555,58.3
2020-4-2,216,2555,58.4
2020-4-2,216,2553,58.4
2020-4-2,216,2553,58.4
2020-4-2,216,2553,58.4
2020-4-2,216,2552,58.4
2020-4-2,216,2551,58.4
2020-4-2,216,2551,58.4
2020-4-2,216,2552,58.4
2020-4-2,216,2552,58.4
2020-4-2,216,2551,58.4
2020-4-2,216,2551,58.4
2020-4-2,216,2551,58.4
2020-4-2,216,2551,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2541,58.4
2020-4-2,216,2544,58.4
2020-4-2,216,2544,58.4
2020-4-2,216,2543,58.4
2020-4-2,216,2543,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2541,58.4
2020-4-2,216,2541,58.4
2020-4-2,216,2542,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2540,58.4
2020-4-2,216,2542,58.4
2020-4-2,216,2541,58.4
2020-4-2,216,2541,58.4
2020-4-2,216,2552,58.4
2020-4-2,216,2549,58.4
2020-4-2,216,2537,58.3
2020-4-2,215,2515,58.2
2020-4-2,214,2511,58.2
2020-4-2,214,2510,58.2
2020-4-2,214,2511,58.2
2020-4-2,214,2511,58.2
2020-4-2,214,2511,58.2
2020-4-2,214,2509,58.2
2020-4-2,214,2510,58.2
2020-4-2,214,2512,58.2
2020-4-2,214,2510,58.2
2020-4-2,214,2510,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2507,58.2
2020-4-2,214,2509,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2508,58.2
2020-4-2,214,2513,58.2
2020-4-2,218,2521,58.3
2020-4-2,214,2521,58.3
2020-4-2,214,2521,58.2
2020-4-2,214,2521,58.2
2020-4-2,217,2549,59.6
2020-4-2,217,2564,60.5
2020-4-2,219,2590,62.0
2020-4-2,217,2591,62.1
2020-4-2,217,2587,60.8
2020-4-2,218,2594,61.2
2020-4-2,215,2586,61.7
2020-4-2,215,2590,61.8
2020-4-2,215,2598,62.2
2020-4-2,216,2604,62.6
2020-4-2,216,2607,63.1
2020-4-2,216,2606,64.3
2020-4-2,216,2616,65.0
2020-4-2,216,2615,65.0
2020-4-2,216,2617,65.0
2020-4-2,216,2618,64.7
2020-4-2,216,2621,64.1
2020-4-2,216,2622,64.1
2020-4-2,216,2624,64.1
2020-4-2,216,2626,64.2
2020-4-2,216,2628,63.2
2020-4-2,216,2628,63.2
2020-4-2,216,2632,63.3
2020-4-2,216,2631,63.4
2020-4-2,216,2630,63.5
2020-4-2,216,2640,63.6
2020-4-2,216,2640,63.9
2020-4-2,218,2664,63.1
2020-4-2,218,2760,61.9
2020-4-2,217,2760,61.9
2020-4-2,217,2760,61.9
2020-4-2,217,2764,61.9
2020-4-2,217,2765,61.9
2020-4-2,217,2765,61.9
2020-4-2,217,2765,62.0
2020-4-2,217,2765,62.1
2020-4-2,217,2766,62.1
2020-4-2,217,2766,62.1
2020-4-2,217,2766,62.1
2020-4-2,217,2766,62.3
2020-4-2,217,2766,62.3
2020-4-2,217,2765,62.5
2020-4-2,217,2752,62.4
2020-4-2,215,2751,62.4
2020-4-2,215,2748,62.4
2020-4-2,215,2747,62.5
2020-4-2,215,2747,62.5
2020-4-2,215,2745,62.5
2020-4-2,215,2744,62.5
2020-4-2,215,2743,62.6
2020-4-2,215,2744,62.7
2020-4-2,215,2743,62.6
2020-4-2,215,2742,62.6
2020-4-2,215,2740,62.7
2020-4-2,215,2739,62.7
2020-4-2,215,2739,62.8
2020-4-2,215,2729,62.8
2020-4-2,214,2727,62.9
2020-4-2,214,2727,62.9
2020-4-2,214,2726,62.9
2020-4-2,214,2724,63.0
2020-4-2,214,2724,63.0
